stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
brain tissue	brain tissue	brain tissue|&|brain tissues	2	11,0154756347	57,2981123768	177,038938599	7,0	145,0	 
protein related	related protein	related protein|&|related proteins	2	4,72091812914	28,5563577056	163,50934863	3,0	53,0	 
gene methylation status	methylation status of this gene	methylation status of this gene	5	3,9714236158	24,709315429	384,656430711	2,0	39,0	 
correlation factor prognostic	Correlation between prognostic factors	Correlation between prognostic factors	4	3,9714236158	24,709315429	225,39563108	2,0	19,0	 
receptor specific	specific receptor	specific receptor|&|specific receptors	2	6,29455750551	36,2643122592	192,734783915	4,0	62,0	 
PAX6 family identification mutation novel	Identification of a novel PAX6 mutation in a family	Identification of a novel PAX6 mutation in a family	9	3,9714236158	24,709315429	257,318442804	2,0	11,0	 
activity expression helper	expression of the helper activity	expression of the helper activity	5	3,9714236158	24,709315429	405,516331976	2,0	35,0	 
immune innate system	innate immune system	innate immune system	3	9,92855903949	52,6758419438	103,013746945	5,0	82,0	 
beta cell dysfunction	beta cell dysfunction	beta cell dysfunction	3	7,94284723159	49,418630858	463,822934986	2,0	22,0	 
majority patient	majority of patients	majority of patients|&|majority of these patients|&|majority of the patients	3	11,0154756347	58,9961554345	177,144413127	6,0	94,0	 
factor helix-loop-helix	helix-loop-helix factors	helix-loop-helix factors	2	4,72091812914	28,5563577056	104,252946623	3,0	40,0	 
biopsy surgical	surgical biopsy	surgical biopsy	2	4,72091812914	28,5563577056	327,757951175	3,0	30,0	 
abnormality iris	iris abnormalities	iris abnormalities|&|iris abnormality	2	6,29455750551	36,2643122592	459,791608567	4,0	57,0	 
neural retina	neural retina	neural retina	2	20,4573118929	97,164379481	192,068379062	13,0	213,0	 
isolate micrometastases	micrometastases or isolated	micrometastases or isolated|&|micrometastases and isolated	3	6,29455750551	36,2643122592	656,017965288	4,0	58,0	 
negative predictive	negative predictive	negative predictive	2	6,29455750551	36,2643122592	315,67452086	4,0	46,0	 
antenna development ectopic eye	ectopic eye development in the antenna	ectopic eye development in the antenna|&|ectopic antenna development in the eye	6	3,9714236158	27,4620965111	86,809519311	1,0	10,0	 
morphogenesis ventricle	ventricle morphogenesis	ventricle morphogenesis	2	4,72091812914	33,7428163761	124,096770375	1,0	15,0	 
morphology surface	surface morphology	surface morphology|&|Surface morphology	2	9,44183625827	50,5681332296	474,237464341	8,0	169,0	 
agenesis callosum corpus polymicrogyria	polymicrogyria and corpus callosum agenesis	polymicrogyria and corpus callosum agenesis	5	3,9714236158	24,709315429	128,476387721	2,0	19,0	 
dye vital	vital dye	vital dye|&|vital dyes	2	7,86819688189	45,330390324	152,502213172	6,0	110,0	 
negative non-SLNs	negative non-SLNs	negative non-SLNs	2	4,72091812914	28,5563577056	778,314233089	3,0	25,0	 
cell retinal type various	various retinal cell types	various retinal cell types	4	3,9714236158	24,709315429	145,7713761	2,0	42,0	 
gap junction	gap junctions	gap junctions|&|gap junction	2	18,8836725165	95,7037724141	261,016222035	12,0	141,0	 
Tc-tilmanocept detection lymph node sentinel	Tc-tilmanocept in the detection of sentinel lymph nodes	Tc-tilmanocept in the detection of sentinel lymph nodes	8	3,9714236158	24,709315429	259,910993175	2,0	36,0	 
nucleotide polymorphism	nucleotide polymorphisms	nucleotide polymorphisms|&|nucleotide polymorphism	2	14,1627543874	70,1096971055	2574,76923121	32,0	495,0	 
homogenization hot	hot homogenization	hot homogenization	2	6,29455750551	36,2643122592	299,434508404	4,0	78,0	 
cell replacement therapy	cell replacement therapy	cell replacement therapy	3	9,92855903949	52,6758419438	112,02196507	5,0	87,0	 
carcinoma cell evaluation head lymph node sentinel squamous	Sentinel lymph node evaluation in squamous cell carcinoma of the head	Sentinel lymph node evaluation in squamous cell carcinoma of the head	11	3,9714236158	24,709315429	475,396856886	2,0	44,0	 
body index mass	body mass index	body mass index	3	3,9714236158	24,709315429	203,785654894	4,0	52,0	 
gene receptor subunit	receptor subunit genes	receptor subunit genes	3	5,95713542369	37,0639731435	95,759361094	2,0	51,0	 
cancer management	cancer management	cancer management|&|management of these cancers	2	4,72091812914	28,5563577056	166,781665282	6,0	81,0	 
epistasis progressive statistical	Statistical epistasis and progressive	Statistical epistasis and progressive	4	3,9714236158	24,709315429	151,469191702	2,0	12,0	 
US-guided injection technique	US-guided injection technique	US-guided injection technique	3	3,9714236158	24,709315429	462,899338108	2,0	25,0	 
association type	association with type	association with type	3	6,29455750551	38,0751436075	226,134868134	3,0	40,0	 
cellular formation layer	cellular layer formation	cellular layer formation	3	3,9714236158	27,4620965111	449,837034126	1,0	8,0	 
activity effect ester phorbol	Effect of phorbol esters on the activity	Effect of phorbol esters on the activity	7	3,9714236158	24,709315429	268,321447095	2,0	24,0	 
cell decision fate	cell fate decisions	cell fate decisions|&|cell fate decision	3	5,95713542369	34,648562585	751,235636922	5,0	64,0	 
accurate identification	accurate identification	accurate identification	2	7,86819688189	43,5746529293	296,798250058	5,0	51,0	 
mouse pellucida recognition sperm taxon-specific transgenic zona	taxon-specific sperm recognition of the zona pellucida in transgenic mice	taxon-specific sperm recognition of the zona pellucida in transgenic mice	10	3,9714236158	24,709315429	190,60887295	2,0	28,0	 
neuron non-respiratory nucleus solitary tract	non-respiratory neurons in the nucleus of solitary tract	non-respiratory neurons in the nucleus of solitary tract	8	3,9714236158	24,709315429	214,236124291	2,0	26,0	 
endoplasmic relationship reticulum stress	relationship between endoplasmic reticulum stress	relationship between endoplasmic reticulum stress	5	3,9714236158	24,709315429	171,221597121	2,0	27,0	 
area brain	brain areas	brain areas|&|brain area	2	6,29455750551	36,2643122592	123,936464112	4,0	62,0	 
area curve	area under the curve	area under the curve|&|area under curve|&|areas under the curve	4	18,8836725165	88,0471020957	138,050442619	12,0	168,0	 
content insulin	insulin content	insulin content	2	6,29455750551	38,0751436075	588,164091911	3,0	33,0	 
marker potential	potential markers	potential markers	2	4,72091812914	28,5563577056	101,476618019	3,0	35,0	 
primary size tumour	primary tumour size	primary tumour size	3	3,9714236158	24,709315429	133,03485518	2,0	21,0	 
h incubation	h incubation	h incubation|&|h of incubation	2	4,72091812914	28,5563577056	157,032520711	3,0	55,0	 
afferents laryngeal	laryngeal afferents	laryngeal afferents	2	6,29455750551	36,2643122592	170,284580262	6,0	86,0	 
development differentiation	Development and differentiation	Development and differentiation|&|differentiation during development|&|differentiation and development	3	6,29455750551	36,2643122592	209,243921368	4,0	65,0	 
development early lens	early lens development	early lens development|&|Early development of the lens	3	9,92855903949	54,8913358673	153,56005536	4,0	61,0	 
filament intermediate protein	intermediate filament protein	intermediate filament protein	3	3,9714236158	24,709315429	159,907688117	2,0	46,0	 
cancer cell line	cancer cell lines	cancer cell lines|&|cancer cell line	3	21,8428298869	103,047928145	1270,63550745	25,0	385,0	 
long-range plasmon surface	long-range surface plasmons	long-range surface plasmons	3	3,9714236158	27,4620965111	201,497103705	1,0	10,0	 
apoptosis induction intercellular sensitivity	sensitivity for intercellular induction of apoptosis	sensitivity for intercellular induction of apoptosis	6	3,9714236158	24,709315429	73,4259725698	2,0	23,0	 
miss rate	miss rate	miss rate	2	6,29455750551	38,0751436075	363,169366962	3,0	22,0	 
model useful	useful model	useful model|&|useful models|&|model useful	2	11,0154756347	57,2981123768	141,801245896	7,0	99,0	 
imaging lymph multireporter node sentinel	multireporter sentinel lymph node imaging	multireporter sentinel lymph node imaging	5	3,9714236158	24,709315429	72,0380515689	2,0	30,0	 
cell kidney line	kidney cell line	kidney cell line	3	5,95713542369	34,648562585	717,773441899	9,0	175,0	 
carcinoma colon mapping node sentinel	Sentinel node mapping in colon carcinoma	Sentinel node mapping in colon carcinoma	6	3,9714236158	24,709315429	342,013621224	2,0	10,0	 
eosin hematoxylin	hematoxylin and eosin	hematoxylin and eosin	3	39,3409844095	156,162370275	215,088559076	25,0	361,0	 
disease such	diseases such	diseases such	2	9,44183625827	50,5681332296	110,126855525	6,0	97,0	 
high-resolution role ultrasound	Role of high-resolution ultrasound	Role of high-resolution ultrasound	4	3,9714236158	24,709315429	609,014358703	2,0	23,0	 
pellucida protein zona	zona pellucida proteins	zona pellucida proteins	3	11,9142708474	61,0387819236	496,413068221	8,0	113,0	 
lymph node section	lymph node sections	lymph node sections	3	3,9714236158	24,709315429	148,772019569	2,0	27,0	 
DNA genomic	genomic DNA	genomic DNA	2	4,72091812914	28,5563577056	346,743316147	7,0	94,0	 
cell enhanced epithelial generation human pigment progenitor retinal	Enhanced generation of retinal progenitor cells from human retinal pigment epithelial	Enhanced generation of retinal progenitor cells from human retinal pigment epithelial	11	3,9714236158	24,709315429	125,89773923	2,0	19,0	 
basic factor fibroblast growth	basic fibroblast growth factor	basic fibroblast growth factor|&|Basic fibroblast growth factor	4	17,8714062711	84,3119412097	779,498251695	9,0	192,0	 
lymphscintigraphy patient sentinel	sentinel lymphscintigraphy in patients	sentinel lymphscintigraphy in patients	4	3,9714236158	24,709315429	65,8093343817	2,0	20,0	 
effect lipid nanoparticles podophyllotoxin solid	Effects of podophyllotoxin solid lipid nanoparticles	Effects of podophyllotoxin solid lipid nanoparticles	6	3,9714236158	24,709315429	253,436219203	2,0	19,0	 
activity electromyographic	electromyographic activities	electromyographic activities|&|electromyographic activity	2	4,72091812914	28,5563577056	291,573341286	3,0	40,0	 
cell cultured	cultured cells	cultured cells	2	26,7518693984	118,763887494	165,990305533	17,0	299,0	 
causative gene	causative gene	causative gene|&|causative genes	2	6,29455750551	36,2643122592	165,638159834	4,0	68,0	 
median time	median time	median time	2	4,72091812914	28,5563577056	606,547810396	3,0	23,0	 
lens placode	lens placode	lens placode	2	17,3100331402	87,7284580462	103,408471991	13,0	205,0	 
group non-metastasis	non-metastasis groups	non-metastasis groups|&|non-metastasis group	2	4,72091812914	30,4705252852	92,4157290052	2,0	20,0	 
dose low tetrasodium-ethylenediamine-tetraacetate toxicity	toxicity of low doses of tetrasodium-ethylenediamine-tetraacetate	toxicity of low doses of tetrasodium-ethylenediamine-tetraacetate	6	3,9714236158	24,709315429	456,709080764	2,0	28,0	 
infusion slow water	slow infusion of water	slow infusion of water|&|slow water infusion	4	3,9714236158	27,4620965111	180,495583916	1,0	8,0	 
cell kidney	kidney cells	kidney cells|&|kidney cell	2	20,4573118929	99,1141695558	3549,44985117	56,0	913,0	 
direct inhibition neurogenesis timing	timing of neurogenesis through the direct inhibition	timing of neurogenesis through the direct inhibition	7	3,9714236158	24,709315429	67,2368967896	2,0	10,0	 
fish high-resolution	high-resolution FISH	high-resolution FISH	2	4,72091812914	28,5563577056	74,1901548477	3,0	47,0	 
factor pro-apoptotic	pro-apoptotic factor	pro-apoptotic factor	2	4,72091812914	28,5563577056	117,314590147	3,0	22,0	 
Voriconazole-associated nephropathy salt-losing	Voriconazole-associated salt-losing nephropathy	Voriconazole-associated salt-losing nephropathy	3	3,9714236158	24,709315429	286,382891522	2,0	10,0	 
accuracy procedure	accuracy of the procedure	accuracy of the procedure	4	4,72091812914	28,5563577056	167,469064215	3,0	24,0	 
node positive	positive nodes	positive nodes|&|node positive|&|positive node|&|Positive nodes|&|nodes positive	2	45,635541915	177,495557178	382,206061768	31,0	468,0	 
growth inhibitory	growth inhibitory	growth inhibitory	2	4,72091812914	30,4705252852	226,874491579	5,0	88,0	 
evaluation further	Further evaluation	Further evaluation	2	4,72091812914	28,5563577056	443,96206895	3,0	37,0	 
breast cancer invasive patient	patients with invasive breast cancer	patients with invasive breast cancer|&|invasive breast cancer in patients|&|patient with invasive breast cancer|&|invasive breast cancer patients	5	23,8285416948	105,560877355	1575,73610217	14,0	191,0	 
I stage	stage I	stage I	2	4,72091812914	28,5563577056	294,641687341	3,0	43,0	 
drug occlusive property	occlusive properties and drug	occlusive properties and drug	4	3,9714236158	24,709315429	250,317763501	2,0	16,0	 
physical stability	physical stability	physical stability	2	6,29455750551	36,2643122592	539,347805127	6,0	86,0	 
analysis sequence	sequence analysis	sequence analysis|&|Sequence analysis	2	18,8836725165	88,0471020957	161,951363321	14,0	211,0	 
cystic fibrosis insight new	new insights into cystic fibrosis	new insights into cystic fibrosis	5	3,9714236158	24,709315429	327,973760508	2,0	48,0	 
activity anhydrase carbonic inhibition	Inhibition of carbonic anhydrase activity	Inhibition of carbonic anhydrase activity	5	3,9714236158	24,709315429	525,593408616	2,0	13,0	 
clinical practice	clinical practice	clinical practice	2	14,1627543874	70,1096971055	171,477315183	13,0	178,0	 
invasion lymphovascular presence	presence of lymphovascular invasion	presence of lymphovascular invasion	4	5,95713542369	34,648562585	629,61209809	3,0	43,0	 
insulin regulation synthesis	Regulation of insulin synthesis	Regulation of insulin synthesis	4	3,9714236158	24,709315429	248,095050024	2,0	37,0	 
